"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 12 13:49:18 UTC 2024","Mon Feb 12 13:49:26 UTC 2024","8494","chromium-mobile-ci","previewPage.ci.mobile.spec.ts","","","","Click on Button of preview for https://rus-news.net",""
"passed","Mon Feb 12 13:50:18 UTC 2024","Mon Feb 12 13:50:21 UTC 2024","2914","chromium-pc-scheduled","fullNewsAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the side on the Full News page for https://rosnews.biz/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:51:41 UTC 2024","Mon Feb 12 13:51:46 UTC 2024","4775","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the top on the Full News page for https://24newsrf.com/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:52:00 UTC 2024","Mon Feb 12 13:52:06 UTC 2024","5918","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the footer on the Full News page for https://top-ru.news/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:46:51 UTC 2024","Mon Feb 12 13:46:58 UTC 2024","7647","chromium-pc-ci","indexPage.ci.pc.spec.ts","","","","Opening another page when you click on the logo for https://i24-7-news.com",""
"passed","Mon Feb 12 13:47:21 UTC 2024","Mon Feb 12 13:47:29 UTC 2024","8577","chromium-pc-ci","previewPage.ci.pc.spec.ts","","","","Click on Button of preview for https://news-press24.com",""
"passed","Mon Feb 12 13:52:00 UTC 2024","Mon Feb 12 13:52:06 UTC 2024","5813","chromium-mobile-scheduled","fullNewsAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the middle on the Full News page for https://top-ru.news/economic/ukaz-podpisan-vseh-u-kogo-ostalis-dengi-na-bankovskoy-karte-zhdet-syurpriz-s-5-yanvarya/full/",""
"passed","Mon Feb 12 13:48:22 UTC 2024","Mon Feb 12 13:48:31 UTC 2024","9157","chromium-pc-ci","previewPage.ci.pc.spec.ts","","","","Click on Button of preview for https://top-ru.news",""
"passed","Mon Feb 12 13:50:35 UTC 2024","Mon Feb 12 13:50:43 UTC 2024","7984","chromium-pc-scheduled","newsPreviewAdCheck.scheduled.pc.spec.ts","","","","Displaying ad in the site on the footer of preview page for https://rus-news.biz",""
"passed","Mon Feb 12 13:52:09 UTC 2024","Mon Feb 12 13:52:14 UTC 2024","5061","chromium-mobile-scheduled","newsPreviewAdCheck.scheduled.mobile.spec.ts","","","","Displaying ad in the the site on the preview page for https://rus-news.net",""
